"time","year","reporate","Time","kpif","category_Growth rate, lending to households (MFI)","category_Growth rate, non-financial corporations (MFI)","category_Average interest rate for households housing loans (MFI)"
1988-01-01,NA,NA,1988,4.5,NA,NA,NA
1988-02-01,NA,NA,1988.08333333333,4.9,NA,NA,NA
1988-03-01,NA,NA,1988.16666666667,5.2,NA,NA,NA
1988-04-01,NA,NA,1988.25,5.9,NA,NA,NA
1988-05-01,NA,NA,1988.33333333333,6,NA,NA,NA
1988-06-01,NA,NA,1988.41666666667,6.4,NA,NA,NA
1988-07-01,NA,NA,1988.5,5.7,NA,NA,NA
1988-08-01,NA,NA,1988.58333333333,5.4,NA,NA,NA
1988-09-01,NA,NA,1988.66666666667,5.3,NA,NA,NA
1988-10-01,NA,NA,1988.75,5.6,NA,NA,NA
1988-11-01,NA,NA,1988.83333333333,5.5,NA,NA,NA
1988-12-01,NA,NA,1988.91666666667,5.7,NA,NA,NA
1989-01-01,NA,NA,1989,6.5,NA,NA,NA
1989-02-01,NA,NA,1989.08333333333,6.3,NA,NA,NA
1989-03-01,NA,NA,1989.16666666667,6.3,NA,NA,NA
1989-04-01,NA,NA,1989.25,6.3,NA,NA,NA
1989-05-01,NA,NA,1989.33333333333,6.5,NA,NA,NA
1989-06-01,NA,NA,1989.41666666667,6.6,NA,NA,NA
1989-07-01,NA,NA,1989.5,6.1,NA,NA,NA
1989-08-01,NA,NA,1989.58333333333,6.3,NA,NA,NA
1989-09-01,NA,NA,1989.66666666667,6.3,NA,NA,NA
1989-10-01,NA,NA,1989.75,6.4,NA,NA,NA
1989-11-01,NA,NA,1989.83333333333,6.3,NA,NA,NA
1989-12-01,NA,NA,1989.91666666667,6.4,NA,NA,NA
1990-01-01,NA,NA,1990,8,NA,NA,NA
1990-02-01,NA,NA,1990.08333333333,7.7,NA,NA,NA
1990-03-01,NA,NA,1990.16666666667,9.9,NA,NA,NA
1990-04-01,NA,NA,1990.25,9.3,NA,NA,NA
