"month","observations","food and non-alcoholic beverages","alcoholic beverages and tobacco","clothing and footwear","housing, water, electricity, gas and other fuels","furnishings and household goods","health","transport","communication","recreation and culture","education","restaurants and hotels","miscellaneous goods and services"
"1980M01","Consumer Price Index (CPI)",95.13,94.83,94.58,95.36,95,96.15,94.6,92.77,97.25,NA,95.17,97.25
"1980M02","Consumer Price Index (CPI)",96.07,94.97,95.36,97.78,96.75,96.18,96.68,95.29,97.44,NA,96.3,99.87
"1980M03","Consumer Price Index (CPI)",96.71,95.43,97.27,97.99,97.57,96.26,97.09,95.29,97.97,NA,96.65,98.83
"1980M04","Consumer Price Index (CPI)",97.35,95.64,98.51,98.61,98.06,96.36,97.4,101.17,98.77,NA,97.43,97.89
"1980M05","Consumer Price Index (CPI)",97.79,95.57,98.79,99.12,98.22,96.36,98.05,101.35,98.36,NA,97.69,98.33
"1980M06","Consumer Price Index (CPI)",97.92,95.92,98.53,99.75,98.35,96.62,98.78,100.86,98.06,NA,98.28,97.78
"1980M07","Consumer Price Index (CPI)",99.98,96.22,96.87,100.14,99.41,100.34,99.16,102.21,99.69,NA,99.71,97.93
"1980M08","Consumer Price Index (CPI)",100.93,96.41,97.99,100.52,100.27,100.51,99.68,102.21,99.73,NA,100.54,98.35
"1980M09","Consumer Price Index (CPI)",103.5,108.65,103.09,100.64,103.56,104.62,101.85,102.21,101.9,NA,103.7,101.68
"1980M10","Consumer Price Index (CPI)",104.46,108.76,106.15,102.61,103.79,105.49,104.68,102.21,102.43,NA,104.26,103.85
"1980M11","Consumer Price Index (CPI)",104.89,108.78,106.39,103.47,104.26,105.54,105.53,102.21,103.88,NA,104.94,104.14
"1980M12","Consumer Price Index (CPI)",105.28,108.8,106.47,103.99,104.76,105.54,106.48,102.21,104.55,NA,105.29,104.14
"1981M01","Consumer Price Index (CPI)",109.88,108.79,103.14,107.83,105.1,115.62,107.48,107.04,105.77,NA,107.22,101.09
"1981M02","Consumer Price Index (CPI)",111.38,109.98,103.46,111.8,106.22,118.65,109.39,113.59,106.08,NA,108.58,102.43
"1981M03","Consumer Price Index (CPI)",111.77,110.03,104.71,112.13,107.16,119.54,109.92,113.59,107.18,NA,109.16,103.78
"1981M04","Consumer Price Index (CPI)",112.76,111.84,105.91,112.77,107.7,120.52,108.99,113.59,108.22,NA,109.71,104
"1981M05","Consumer Price Index (CPI)",113.42,111.98,106.15,113,108.35,121.53,111.68,113.59,108.59,NA,110.83,103.86
"1981M06","Consumer Price Index (CPI)",113.71,112.05,105.06,114.13,108.65,122.57,111.8,114.7,108.61,NA,112.04,104.61
"1981M07","Consumer Price Index (CPI)",116.07,112.06,103.83,115.26,109.13,121.44,114.14,114.55,108.92,NA,113.39,104.52
"1981M08","Consumer Price Index (CPI)",117.18,112,104.16,116.46,110.48,121.9,115.2,114.55,108.8,NA,114.52,105.55
"1981M09","Consumer Price Index (CPI)",117.64,112.7,107.36,116.77,110.57,127.71,115.89,114.55,109.62,NA,116.6,105.86
"1981M10","Consumer Price Index (CPI)",119.17,112.84,110.61,116.36,110.52,127.76,117.59,114.55,109.97,NA,117.02,107.38
"1981M11","Consumer Price Index (CPI)",119.54,113.19,110.8,116.92,110.81,127.76,118.02,114.55,110.98,NA,117.18,107
"1981M12","Consumer Price Index (CPI)",117.76,112.95,109.24,117.13,109.39,127.33,118.3,114.55,110.46,NA,117.1,106.17
"1982M01","Consumer Price Index (CPI)",122.21,113.1,106.13,122.08,110.79,134.19,118.72,114.55,112.24,NA,119.66,106.88
"1982M02","Consumer Price Index (CPI)",125.76,114.42,107.71,122.38,113.7,135.31,120.42,114.55,113.08,NA,122.66,109.66
"1982M03","Consumer Price Index (CPI)",127.13,114.44,109.31,120.85,114.04,135.33,121.49,114.55,114.28,NA,123.3,110.36
"1982M04","Consumer Price Index (CPI)",127.44,116.41,111.17,121.72,114.54,135.61,122.39,114.55,114.72,NA,124.17,110.53
"1982M05","Consumer Price Index (CPI)",128.04,119.6,111.42,122.18,114.65,134.57,122.36,114.55,114.97,NA,125.2,110.59
"1982M06","Consumer Price Index (CPI)",128.86,120.05,110.84,122.49,114.94,133.55,123.21,114.55,115.59,NA,125.79,110.33
"1982M07","Consumer Price Index (CPI)",130.6,120.11,109.33,123.78,115.47,143.6,124.27,114.55,115.35,NA,125.54,110.59
"1982M08","Consumer Price Index (CPI)",131.13,120.11,109.29,123.9,116.28,142.62,124.64,114.55,115.55,NA,126.96,111.69
"1982M09","Consumer Price Index (CPI)",131.69,120.13,112.74,123.98,117.03,143.68,125.58,114.55,115.65,NA,128.26,112.41
"1982M10","Consumer Price Index (CPI)",132.1,121.01,115.36,126.13,117.57,143.7,130.03,114.55,116.68,NA,129.04,114.77
"1982M11","Consumer Price Index (CPI)",133.37,121.17,115.74,126.77,118.71,144.91,131.24,114.55,118.88,NA,130.18,115.58
"1982M12","Consumer Price Index (CPI)",133.4,121.28,116.15,126.86,119.4,145.17,131.97,114.55,119.62,NA,131.99,115.96
"1983M01","Consumer Price Index (CPI)",137.73,129.09,113.49,130.26,121.52,148.39,133.94,111.88,122.14,NA,134.91,117.95
"1983M02","Consumer Price Index (CPI)",138.44,132.75,114.43,127.98,122.6,148.74,134.52,111.88,122.85,NA,136.1,118.27
"1983M03","Consumer Price Index (CPI)",140.33,132.98,116.24,127.39,123.28,149.13,133.15,111.88,124.48,NA,136.8,120.05
"1983M04","Consumer Price Index (CPI)",141.17,134,118.48,127.39,124.29,149.22,135.62,116.99,125.03,NA,138.49,122.19
"1983M05","Consumer Price Index (CPI)",142.36,134.06,118.85,128.32,125.5,150.73,136.16,116.99,125.66,NA,139.69,122.82
"1983M06","Consumer Price Index (CPI)",143.63,134.49,118.46,128.75,126.73,151.7,136.61,119.03,126.51,NA,141,124.9
"1983M07","Consumer Price Index (CPI)",145.79,134.61,117.19,129.82,126.94,154.48,137.84,126.84,127.16,NA,141.83,125.72
"1983M08","Consumer Price Index (CPI)",146.63,134.73,118.2,129.75,128.7,154.54,139.53,126.84,127.61,NA,143.39,126.78
"1983M09","Consumer Price Index (CPI)",147.01,134.76,121.54,130.45,129.34,155.25,140.62,126.84,129.2,NA,144.61,127.59
"1983M10","Consumer Price Index (CPI)",148.73,135.33,125.54,131.26,129.5,155.68,141.28,126.84,129.69,NA,145.35,128.46
"1983M11","Consumer Price Index (CPI)",149.5,135.95,125.92,132.19,129.93,155.47,142.49,126.84,130.4,NA,147.26,129.46
"1983M12","Consumer Price Index (CPI)",151.38,145.15,126.19,132.05,130.39,156.08,142.71,126.84,130.98,NA,149.51,129.91
"1984M01","Consumer Price Index (CPI)",154.49,145.39,120.08,135.24,131.21,164.47,146.02,126.97,132.49,NA,152.88,131.05
"1984M02","Consumer Price Index (CPI)",158.08,146.23,120.27,135.62,133.05,164.68,133.36,126.97,133.33,NA,153.95,132.39
"1984M03","Consumer Price Index (CPI)",158.28,146.22,121.91,135.87,132.88,164.69,144.82,126.97,134.57,NA,156.13,134.08
"1984M04","Consumer Price Index (CPI)",159.28,146.76,124.55,136.51,134.1,165.37,144.58,127.93,135.5,NA,158,136.66
"1984M05","Consumer Price Index (CPI)",161.86,146.8,125.05,136.73,134.78,165.58,146.67,127.74,136.27,NA,158.81,137.18
"1984M06","Consumer Price Index (CPI)",162.6,146.8,124.57,136.86,135.07,165.46,142.94,127.74,136.39,NA,158.64,136.95
"1984M07","Consumer Price Index (CPI)",162.42,146.96,122.24,139.24,135.45,165.43,141.56,127.74,136.89,NA,158.61,137.48
"1984M08","Consumer Price Index (CPI)",162.8,147.1,123.45,138.58,137.83,168.03,147.26,127.74,137.14,NA,161.39,138.35
"1984M09","Consumer Price Index (CPI)",163.39,147.13,128.09,139.12,137.79,169.11,148.02,127.74,138.12,NA,163.34,138.96
"1984M10","Consumer Price Index (CPI)",164.05,149.23,132.59,140.03,138.6,171.18,145.62,127.74,138.06,NA,164.07,140.05
"1984M11","Consumer Price Index (CPI)",163.17,149.04,133.29,141.36,139.02,171.24,149.22,127.74,138.76,NA,165.19,141.2
