"quarter","observations","value"
"1986K1","Index",118
"1986K2","Index",124
"1986K3","Index",124
"1986K4","Index",130
"1987K1","Index",130
"1987K2","Index",140
"1987K3","Index",142
"1987K4","Index",146
"1988K1","Index",151
"1988K2","Index",161
"1988K3","Index",171
"1988K4","Index",170
"1989K1","Index",176
"1989K2","Index",191
"1989K3","Index",199
"1989K4","Index",194
"1990K1","Index",211
"1990K2","Index",214
"1990K3","Index",224
"1990K4","Index",210
"1991K1","Index",249
"1991K2","Index",255
"1991K3","Index",252
"1991K4","Index",253
"1992K1","Index",232
"1992K2","Index",229
"1992K3","Index",227
"1992K4","Index",211
"1993K1","Index",198
"1993K2","Index",205
"1993K3","Index",205
"1993K4","Index",207
"1994K1","Index",208
"1994K2","Index",214
"1994K3","Index",219
"1994K4","Index",216
"1995K1","Index",206
"1995K2","Index",218
"1995K3","Index",218
"1995K4","Index",213
"1996K1","Index",215
"1996K2","Index",222
"1996K3","Index",220
"1996K4","Index",216
"1997K1","Index",216
"1997K2","Index",229
"1997K3","Index",230
"1997K4","Index",229
"1998K1","Index",236
"1998K2","Index",245
"1998K3","Index",254
"1998K4","Index",243
"1999K1","Index",241
"1999K2","Index",272
"1999K3","Index",274
"1999K4","Index",272
"2000K1","Index",272
"2000K2","Index",305
"2000K3","Index",315
"2000K4","Index",313
"2001K1","Index",315
"2001K2","Index",340
"2001K3","Index",340
"2001K4","Index",334
"2002K1","Index",336
"2002K2","Index",364
"2002K3","Index",356
"2002K4","Index",365
"2003K1","Index",361
"2003K2","Index",373
"2003K3","Index",389
"2003K4","Index",394
"2004K1","Index",384
"2004K2","Index",414
"2004K3","Index",427
"2004K4","Index",431
"2005K1","Index",409
"2005K2","Index",448
"2005K3","Index",475
"2005K4","Index",490
"2006K1","Index",466
"2006K2","Index",524
"2006K3","Index",535
"2006K4","Index",527
"2007K1","Index",510
"2007K2","Index",584
"2007K3","Index",599
"2007K4","Index",597
"2008K1","Index",556
"2008K2","Index",606
"2008K3","Index",620
"2008K4","Index",580
"2009K1","Index",554
"2009K2","Index",618
"2009K3","Index",638
"2009K4","Index",651
"2010K1","Index",621
"2010K2","Index",676
"2010K3","Index",680
"2010K4","Index",673
"2011K1","Index",655
"2011K2","Index",685
"2011K3","Index",672
"2011K4","Index",653
"2012K1","Index",616
"2012K2","Index",654
"2012K3","Index",663
"2012K4","Index",637
"2013K1","Index",588
"2013K2","Index",667
"2013K3","Index",663
"2013K4","Index",666
"2014K1","Index",660
"2014K2","Index",713
"2014K3","Index",710
"2014K4","Index",719
"2015K1","Index",751
"2015K2","Index",777
"2015K3","Index",792
"2015K4","Index",794
"2016K1","Index",734
"2016K2","Index",827
"2016K3","Index",830
"2016K4","Index",840
"2017K1","Index",823
"2017K2","Index",901
"2017K3","Index",911
"2017K4","Index",901
"2018K1","Index",831
"2018K2","Index",911
"2018K3","Index",891
"2018K4","Index",882
"2019K1","Index",815
"2019K2","Index",929
"2019K3","Index",932
"2019K4","Index",924
"2020K1","Index",885
"2020K2","Index",1001
"2020K3","Index",1026
"2020K4","Index",1040
"2021K1","Index",1054
"2021K2","Index",1180
"2021K3","Index",1225
"2021K4","Index",1188
"2022K1","Index",1144
"2022K2","Index",1233
"2022K3","Index",1221
"2022K4","Index",1115
"2023K1","Index",964
"2023K2","Index",1111
"2023K3","Index",1119
"2023K4","Index",1076
"2024K1","Index",1024
"2024K2","Index",1103
"2024K3","Index",1104
"2024K4","Index",1097
"2025K1","Index",1003
