"Period","Indikator","value"
"1996M01","Barometerindikatorn",NA
"1996M02","Barometerindikatorn",NA
"1996M03","Barometerindikatorn",NA
"1996M04","Barometerindikatorn",NA
"1996M05","Barometerindikatorn",NA
"1996M06","Barometerindikatorn",NA
"1996M07","Barometerindikatorn",86.3
"1996M08","Barometerindikatorn",88.7
"1996M09","Barometerindikatorn",89.6
"1996M10","Barometerindikatorn",91.8
"1996M11","Barometerindikatorn",92.4
"1996M12","Barometerindikatorn",91.9
"1997M01","Barometerindikatorn",94
"1997M02","Barometerindikatorn",94.3
"1997M03","Barometerindikatorn",96.9
"1997M04","Barometerindikatorn",97.1
"1997M05","Barometerindikatorn",95.9
"1997M06","Barometerindikatorn",97
"1997M07","Barometerindikatorn",99.5
"1997M08","Barometerindikatorn",99.6
"1997M09","Barometerindikatorn",102.5
"1997M10","Barometerindikatorn",104.7
"1997M11","Barometerindikatorn",104.5
"1997M12","Barometerindikatorn",105.6
"1998M01","Barometerindikatorn",106.9
"1998M02","Barometerindikatorn",104.6
"1998M03","Barometerindikatorn",104.8
"1998M04","Barometerindikatorn",103.1
"1998M05","Barometerindikatorn",105.1
"1998M06","Barometerindikatorn",106.6
"1998M07","Barometerindikatorn",105.6
"1998M08","Barometerindikatorn",101.4
"1998M09","Barometerindikatorn",101.1
"1998M10","Barometerindikatorn",100.2
"1998M11","Barometerindikatorn",98.8
"1998M12","Barometerindikatorn",97.1
"1999M01","Barometerindikatorn",95.4
"1999M02","Barometerindikatorn",95.6
"1999M03","Barometerindikatorn",95.3
"1999M04","Barometerindikatorn",96.9
"1999M05","Barometerindikatorn",102.2
"1999M06","Barometerindikatorn",103.4
"1999M07","Barometerindikatorn",103.3
"1999M08","Barometerindikatorn",106.8
"1999M09","Barometerindikatorn",108.3
"1999M10","Barometerindikatorn",106.8
"1999M11","Barometerindikatorn",108.6
"1999M12","Barometerindikatorn",110.5
"2000M01","Barometerindikatorn",112
"2000M02","Barometerindikatorn",113.4
"2000M03","Barometerindikatorn",115.3
"2000M04","Barometerindikatorn",114.7
"2000M05","Barometerindikatorn",113.6
"2000M06","Barometerindikatorn",113.4
"2000M07","Barometerindikatorn",114.3
"2000M08","Barometerindikatorn",113.2
"2000M09","Barometerindikatorn",110.6
"2000M10","Barometerindikatorn",110.8
"2000M11","Barometerindikatorn",108.9
"2000M12","Barometerindikatorn",103.9
"2001M01","Barometerindikatorn",100.4
"2001M02","Barometerindikatorn",96.8
"2001M03","Barometerindikatorn",94.7
"2001M04","Barometerindikatorn",93.2
"2001M05","Barometerindikatorn",90.6
"2001M06","Barometerindikatorn",88.3
"2001M07","Barometerindikatorn",84.3
"2001M08","Barometerindikatorn",84.5
"2001M09","Barometerindikatorn",85.8
"2001M10","Barometerindikatorn",86
"2001M11","Barometerindikatorn",88.3
"2001M12","Barometerindikatorn",90.4
"2002M01","Barometerindikatorn",91.7
"2002M02","Barometerindikatorn",91.6
"2002M03","Barometerindikatorn",94.6
"2002M04","Barometerindikatorn",94.1
"2002M05","Barometerindikatorn",92
"2002M06","Barometerindikatorn",95.7
"2002M07","Barometerindikatorn",93.3
"2002M08","Barometerindikatorn",91.3
"2002M09","Barometerindikatorn",92.4
"2002M10","Barometerindikatorn",87.8
"2002M11","Barometerindikatorn",89.4
"2002M12","Barometerindikatorn",91.1
"2003M01","Barometerindikatorn",88.7
"2003M02","Barometerindikatorn",94.7
"2003M03","Barometerindikatorn",91.4
"2003M04","Barometerindikatorn",87.9
"2003M05","Barometerindikatorn",90.1
"2003M06","Barometerindikatorn",87
"2003M07","Barometerindikatorn",86
"2003M08","Barometerindikatorn",89.2
"2003M09","Barometerindikatorn",90.1
"2003M10","Barometerindikatorn",90.7
"2003M11","Barometerindikatorn",90.1
"2003M12","Barometerindikatorn",93.7
"2004M01","Barometerindikatorn",93.2
"2004M02","Barometerindikatorn",95.5
"2004M03","Barometerindikatorn",95.5
"2004M04","Barometerindikatorn",99
"2004M05","Barometerindikatorn",100.3
"2004M06","Barometerindikatorn",101.7
"2004M07","Barometerindikatorn",101.9
"2004M08","Barometerindikatorn",104.6
"2004M09","Barometerindikatorn",107.3
"2004M10","Barometerindikatorn",103.9
"2004M11","Barometerindikatorn",103.8
"2004M12","Barometerindikatorn",102.1
"2005M01","Barometerindikatorn",104.6
"2005M02","Barometerindikatorn",103
"2005M03","Barometerindikatorn",102.4
"2005M04","Barometerindikatorn",98.5
"2005M05","Barometerindikatorn",98.4
"2005M06","Barometerindikatorn",100.7
"2005M07","Barometerindikatorn",99
"2005M08","Barometerindikatorn",99.9
"2005M09","Barometerindikatorn",102.2
"2005M10","Barometerindikatorn",103.9
"2005M11","Barometerindikatorn",104.5
"2005M12","Barometerindikatorn",106.1
"2006M01","Barometerindikatorn",109
"2006M02","Barometerindikatorn",110.1
"2006M03","Barometerindikatorn",107.7
"2006M04","Barometerindikatorn",108.5
"2006M05","Barometerindikatorn",107.7
