"year","observations","income.bracket","age","sex","region","value"
"1999","Mean income, SEK thousands","total","16-19 years","total","Sweden",16.5
"2000","Mean income, SEK thousands","total","16-19 years","total","Sweden",18.1
"2001","Mean income, SEK thousands","total","16-19 years","total","Sweden",18.7
"2002","Mean income, SEK thousands","total","16-19 years","total","Sweden",18.9
"2003","Mean income, SEK thousands","total","16-19 years","total","Sweden",18.1
"2004","Mean income, SEK thousands","total","16-19 years","total","Sweden",16.3
"2005","Mean income, SEK thousands","total","16-19 years","total","Sweden",16
"2006","Mean income, SEK thousands","total","16-19 years","total","Sweden",17.5
"2007","Mean income, SEK thousands","total","16-19 years","total","Sweden",20.1
"2008","Mean income, SEK thousands","total","16-19 years","total","Sweden",20.4
"2009","Mean income, SEK thousands","total","16-19 years","total","Sweden",16.3
"2010","Mean income, SEK thousands","total","16-19 years","total","Sweden",18.2
"2011","Mean income, SEK thousands","total","16-19 years","total","Sweden",20.2
"2012","Mean income, SEK thousands","total","16-19 years","total","Sweden",20
"2013","Mean income, SEK thousands","total","16-19 years","total","Sweden",20.5
"2014","Mean income, SEK thousands","total","16-19 years","total","Sweden",21.3
"2015","Mean income, SEK thousands","total","16-19 years","total","Sweden",23.6
"2016","Mean income, SEK thousands","total","16-19 years","total","Sweden",25.6
"2017","Mean income, SEK thousands","total","16-19 years","total","Sweden",27.3
"2018","Mean income, SEK thousands","total","16-19 years","total","Sweden",28
"2019","Mean income, SEK thousands","total","16-19 years","total","Sweden",27.8
"2020","Mean income, SEK thousands","total","16-19 years","total","Sweden",23.9
"2021","Mean income, SEK thousands","total","16-19 years","total","Sweden",28.1
"2022","Mean income, SEK thousands","total","16-19 years","total","Sweden",33.4
"2023","Mean income, SEK thousands","total","16-19 years","total","Sweden",33.4
"1999","Median income, SEK thousands","total","16-19 years","total","Sweden",6.7
"2000","Median income, SEK thousands","total","16-19 years","total","Sweden",7.5
"2001","Median income, SEK thousands","total","16-19 years","total","Sweden",7.7
"2002","Median income, SEK thousands","total","16-19 years","total","Sweden",7.4
"2003","Median income, SEK thousands","total","16-19 years","total","Sweden",6.3
"2004","Median income, SEK thousands","total","16-19 years","total","Sweden",4.9
"2005","Median income, SEK thousands","total","16-19 years","total","Sweden",4.5
"2006","Median income, SEK thousands","total","16-19 years","total","Sweden",5.3
"2007","Median income, SEK thousands","total","16-19 years","total","Sweden",6.1
"2008","Median income, SEK thousands","total","16-19 years","total","Sweden",6.3
"2009","Median income, SEK thousands","total","16-19 years","total","Sweden",3.8
"2010","Median income, SEK thousands","total","16-19 years","total","Sweden",4.9
"2011","Median income, SEK thousands","total","16-19 years","total","Sweden",5.6
"2012","Median income, SEK thousands","total","16-19 years","total","Sweden",5.7
"2013","Median income, SEK thousands","total","16-19 years","total","Sweden",5.7
"2014","Median income, SEK thousands","total","16-19 years","total","Sweden",6.1
"2015","Median income, SEK thousands","total","16-19 years","total","Sweden",6.8
"2016","Median income, SEK thousands","total","16-19 years","total","Sweden",7.5
"2017","Median income, SEK thousands","total","16-19 years","total","Sweden",8.1
"2018","Median income, SEK thousands","total","16-19 years","total","Sweden",8.6
"2019","Median income, SEK thousands","total","16-19 years","total","Sweden",8.1
"2020","Median income, SEK thousands","total","16-19 years","total","Sweden",5.5
"2021","Median income, SEK thousands","total","16-19 years","total","Sweden",7.4
"2022","Median income, SEK thousands","total","16-19 years","total","Sweden",10.4
"2023","Median income, SEK thousands","total","16-19 years","total","Sweden",10
"1999","Mean income, SEK thousands","total","20-24 years","total","Sweden",92
"2000","Mean income, SEK thousands","total","20-24 years","total","Sweden",98.1
"2001","Mean income, SEK thousands","total","20-24 years","total","Sweden",103.3
"2002","Mean income, SEK thousands","total","20-24 years","total","Sweden",104.3
"2003","Mean income, SEK thousands","total","20-24 years","total","Sweden",104.9
"2004","Mean income, SEK thousands","total","20-24 years","total","Sweden",103.7
"2005","Mean income, SEK thousands","total","20-24 years","total","Sweden",104.9
"2006","Mean income, SEK thousands","total","20-24 years","total","Sweden",112
"2007","Mean income, SEK thousands","total","20-24 years","total","Sweden",120.5
"2008","Mean income, SEK thousands","total","20-24 years","total","Sweden",125
"2009","Mean income, SEK thousands","total","20-24 years","total","Sweden",114.4
"2010","Mean income, SEK thousands","total","20-24 years","total","Sweden",114.1
"2011","Mean income, SEK thousands","total","20-24 years","total","Sweden",123.7
"2012","Mean income, SEK thousands","total","20-24 years","total","Sweden",128.8
"2013","Mean income, SEK thousands","total","20-24 years","total","Sweden",130.5
"2014","Mean income, SEK thousands","total","20-24 years","total","Sweden",135.6
"2015","Mean income, SEK thousands","total","20-24 years","total","Sweden",145.3
"2016","Mean income, SEK thousands","total","20-24 years","total","Sweden",154.3
"2017","Mean income, SEK thousands","total","20-24 years","total","Sweden",160.4
"2018","Mean income, SEK thousands","total","20-24 years","total","Sweden",166.3
"2019","Mean income, SEK thousands","total","20-24 years","total","Sweden",166
"2020","Mean income, SEK thousands","total","20-24 years","total","Sweden",158.5
"2021","Mean income, SEK thousands","total","20-24 years","total","Sweden",168.9
"2022","Mean income, SEK thousands","total","20-24 years","total","Sweden",185.3
"2023","Mean income, SEK thousands","total","20-24 years","total","Sweden",191.4
"1999","Median income, SEK thousands","total","20-24 years","total","Sweden",74.9
"2000","Median income, SEK thousands","total","20-24 years","total","Sweden",82.2
"2001","Median income, SEK thousands","total","20-24 years","total","Sweden",88.5
"2002","Median income, SEK thousands","total","20-24 years","total","Sweden",87.9
"2003","Median income, SEK thousands","total","20-24 years","total","Sweden",90.2
"2004","Median income, SEK thousands","total","20-24 years","total","Sweden",86.2
"2005","Median income, SEK thousands","total","20-24 years","total","Sweden",86
"2006","Median income, SEK thousands","total","20-24 years","total","Sweden",94
"2007","Median income, SEK thousands","total","20-24 years","total","Sweden",101.4
"2008","Median income, SEK thousands","total","20-24 years","total","Sweden",103.9
"2009","Median income, SEK thousands","total","20-24 years","total","Sweden",90.5
"2010","Median income, SEK thousands","total","20-24 years","total","Sweden",89
"2011","Median income, SEK thousands","total","20-24 years","total","Sweden",96.4
"2012","Median income, SEK thousands","total","20-24 years","total","Sweden",101
"2013","Median income, SEK thousands","total","20-24 years","total","Sweden",102.7
"2014","Median income, SEK thousands","total","20-24 years","total","Sweden",109.2
"2015","Median income, SEK thousands","total","20-24 years","total","Sweden",121.8
"2016","Median income, SEK thousands","total","20-24 years","total","Sweden",133.7
"2017","Median income, SEK thousands","total","20-24 years","total","Sweden",140.1
"2018","Median income, SEK thousands","total","20-24 years","total","Sweden",145.5
"2019","Median income, SEK thousands","total","20-24 years","total","Sweden",142
