"Time","Value"
1988,4.5
1988.08333333333,4.9
1988.16666666667,5.2
1988.25,5.9
1988.33333333333,6
1988.41666666667,6.4
1988.5,5.7
1988.58333333333,5.4
1988.66666666667,5.3
1988.75,5.6
1988.83333333333,5.5
1988.91666666667,5.7
1989,6.5
1989.08333333333,6.3
1989.16666666667,6.3
1989.25,6.3
1989.33333333333,6.5
1989.41666666667,6.6
1989.5,6.1
1989.58333333333,6.3
1989.66666666667,6.3
1989.75,6.4
1989.83333333333,6.3
1989.91666666667,6.4
1990,8
1990.08333333333,7.7
1990.16666666667,9.9
1990.25,9.3
1990.33333333333,9.6
1990.41666666667,9.4
1990.5,10.4
1990.58333333333,10.8
1990.66666666667,11.1
1990.75,10.8
1990.83333333333,10.8
1990.91666666667,10.3
1991,9.9
1991.08333333333,12.7
1991.16666666667,10.5
1991.25,10.7
1991.33333333333,10.2
1991.41666666667,10.1
1991.5,9.1
1991.58333333333,8.1
1991.66666666667,8.1
1991.75,7.7
1991.83333333333,8.1
1991.91666666667,7.8
1992,5.2
1992.08333333333,2.3
1992.16666666667,2.3
1992.25,2.1
1992.33333333333,2.1
1992.41666666667,1.7
1992.5,1.6
1992.58333333333,1.7
1992.66666666667,1.6
1992.75,1.5
1992.83333333333,0.8
1992.91666666667,1.8
1993,4.7
1993.08333333333,5
1993.16666666667,5.1
1993.25,5.1
1993.33333333333,4.9
1993.41666666667,5
1993.5,4.9
1993.58333333333,5.1
1993.66666666667,5.1
1993.75,5.2
1993.83333333333,5.6
1993.91666666667,4.6
1994,2.1
1994.08333333333,2.1
1994.16666666667,1.9
1994.25,2
1994.33333333333,2.3
1994.41666666667,2.6
1994.5,2.8
1994.58333333333,2.7
1994.66666666667,2.6
1994.75,2.5
1994.83333333333,2.3
1994.91666666667,2.5
1995,2.8
1995.08333333333,2.8
1995.16666666667,2.8
1995.25,2.9
1995.33333333333,2.9
1995.41666666667,2.7
1995.5,2.6
1995.58333333333,2.5
1995.66666666667,2.3
1995.75,2.5
1995.83333333333,2.6
1995.91666666667,2.5
1996,1.8
1996.08333333333,1.6
1996.16666666667,1.8
1996.25,1.6
1996.33333333333,1.5
1996.41666666667,1.3
1996.5,1.3
1996.58333333333,1
1996.66666666667,0.9
1996.75,0.8
1996.83333333333,0.7
1996.91666666667,1
1997,1.2
1997.08333333333,1
1997.16666666667,1
1997.25,1.1
1997.33333333333,1.2
1997.41666666667,1.7
1997.5,1.7
1997.58333333333,2.2
1997.66666666667,2.5
1997.75,2.5
1997.83333333333,2.5
1997.91666666667,2.5
1998,1.9
1998.08333333333,1.8
1998.16666666667,1.5
1998.25,1.3
1998.33333333333,1.5
1998.41666666667,1.2
1998.5,1.1
1998.58333333333,0.6
1998.66666666667,0
1998.75,0.1
1998.83333333333,0.1
1998.91666666667,0
1999,0.7
1999.08333333333,0.8
1999.16666666667,1.1
1999.25,1.1
1999.33333333333,1.1
