"quarter","observations","type.of.use","value"
"1993K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",757347
"1993K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",779722
"1993K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",716357
"1993K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",835682
"1994K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",785520
"1994K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",807102
"1994K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",740359
"1994K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",880175
"1995K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",831110
"1995K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",840500
"1995K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",766101
"1995K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",907000
"1996K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",852833
"1996K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",850572
"1996K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",781968
"1996K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",916359
"1997K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",843688
"1997K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",892046
"1997K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",812161
"1997K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",958096
"1998K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",887058
"1998K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",919629
"1998K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",849323
"1998K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",998836
"1999K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",921884
"1999K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",958729
"1999K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",885203
"1999K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1042573
"2000K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",961730
"2000K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1011971
"2000K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",932408
"2000K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1078650
"2001K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1000846
"2001K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1019997
"2001K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",937683
"2001K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1080456
"2002K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1008503
"2002K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1061091
"2002K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",963812
"2002K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1097571
"2003K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1030346
"2003K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1067915
"2003K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",984201
"2003K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1126216
"2004K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1065526
"2004K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1116868
"2004K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1023736
"2004K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1178451
"2005K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1079388
"2005K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1157887
"2005K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1056591
"2005K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1213184
"2006K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1140729
"2006K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1200802
"2006K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1100171
"2006K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1276098
"2007K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1186377
"2007K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1244518
"2007K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1131902
"2007K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1307148
"2008K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1195288
"2008K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1268164
"2008K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1127698
"2008K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1233840
"2009K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1126244
"2009K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1189241
"2009K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1076275
"2009K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1227899
"2010K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1149387
"2010K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1258380
"2010K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1154825
"2010K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1322731
"2011K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1227799
"2011K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1301300
"2011K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1191103
"2011K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1319688
"2012K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1230797
"2012K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1290106
"2012K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1180281
"2012K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1317818
"2013K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1226278
"2013K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1303608
"2013K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1193916
"2013K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1352301
"2014K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1253603
"2014K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1332273
"2014K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1221749
"2014K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1385014
"2015K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1293137
"2015K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1401643
"2015K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1270137
"2015K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1456725
"2016K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1328340
"2016K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1443957
"2016K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1294227
"2016K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1482512
"2017K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1375355
"2017K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1445391
"2017K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1312525
"2017K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1517044
"2018K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1397252
"2018K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1486270
"2018K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1331890
"2018K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1542426
"2019K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1431600
"2019K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1514610
"2019K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1375051
"2019K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1583382
"2020K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1463290
"2020K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1411412
"2020K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1342583
"2020K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1568949
"2021K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1469606
"2021K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1565981
"2021K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1421144
"2021K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1673061
"2022K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1511382
"2022K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1595884
"2022K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1454969
"2022K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1657008
"2023K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1540204
"2023K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1581260
"2023K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1445110
"2023K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1645569
"2024K1","Constant prices, reference year 2023, SEK million","- GDP at market prices",1535387
"2024K2","Constant prices, reference year 2023, SEK million","- GDP at market prices",1595552
"2024K3","Constant prices, reference year 2023, SEK million","- GDP at market prices",1464851
"2024K4","Constant prices, reference year 2023, SEK million","- GDP at market prices",1676849
