"year","seqNr","from","to","average","min","max","ultimo","observationCount"
1994,6,"1994-06-01","1994-06-30",6.93429,6.92,6.95,6.92,21
1994,7,"1994-07-01","1994-07-29",6.92,6.92,6.92,6.92,21
1994,8,"1994-08-01","1994-08-31",7.05391,6.92,7.2,7.2,23
1994,9,"1994-09-01","1994-09-30",7.2,7.2,7.2,7.2,22
1994,10,"1994-10-03","1994-10-31",7.2,7.2,7.2,7.2,21
1994,11,"1994-11-01","1994-11-30",7.39091,7.2,7.4,7.4,22
1994,12,"1994-12-01","1994-12-30",7.51429,7.4,7.6,7.6,21
1995,1,"1995-01-02","1995-01-31",7.6,7.6,7.6,7.6,21
1995,2,"1995-02-01","1995-02-28",7.7075,7.6,7.83,7.83,20
1995,3,"1995-03-01","1995-03-31",8.06957,7.9,8.2,8.2,23
1995,4,"1995-04-03","1995-04-28",8.33611,8.2,8.41,8.41,18
1995,5,"1995-05-02","1995-05-31",8.41,8.41,8.41,8.41,21
1995,6,"1995-06-01","1995-06-30",8.6225,8.41,8.66,8.66,20
1995,7,"1995-07-03","1995-07-31",8.88619,8.66,8.91,8.91,21
1995,8,"1995-08-01","1995-08-31",8.91,8.91,8.91,8.91,23
1995,9,"1995-09-01","1995-09-29",8.91,8.91,8.91,8.91,21
1995,10,"1995-10-02","1995-10-31",8.91,8.91,8.91,8.91,22
1995,11,"1995-11-01","1995-11-30",8.91,8.91,8.91,8.91,22
1995,12,"1995-12-01","1995-12-29",8.91,8.91,8.91,8.91,19
1996,1,"1996-01-02","1996-01-31",8.71864,8.45,8.91,8.45,22
1996,2,"1996-02-01","1996-02-29",8.34048,8.05,8.45,8.05,21
1996,3,"1996-03-01","1996-03-29",7.75476,7.4,8.05,7.4,21
1996,4,"1996-04-01","1996-04-30",7.15,6.9,7.4,6.9,20
1996,5,"1996-05-02","1996-05-31",6.67,6.5,6.9,6.5,20
1996,6,"1996-06-03","1996-06-28",6.24737,6.1,6.5,6.1,19
1996,7,"1996-07-01","1996-07-31",5.81522,5.55,6.1,5.55,23
1996,8,"1996-08-01","1996-08-30",5.44091,5.25,5.55,5.25,22
1996,9,"1996-09-02","1996-09-30",5.16429,5.05,5.25,5.05,21
1996,10,"1996-10-01","1996-10-31",4.92391,4.6,5.05,4.6,23
1996,11,"1996-11-01","1996-11-29",4.56429,4.35,4.6,4.35,21
1996,12,"1996-12-02","1996-12-30",4.25278,4.1,4.35,4.1,18
1997,1,"1997-01-02","1997-01-31",4.1,4.1,4.1,4.1,21
1997,2,"1997-02-03","1997-02-28",4.1,4.1,4.1,4.1,20
1997,3,"1997-03-03","1997-03-27",4.1,4.1,4.1,4.1,19
1997,4,"1997-04-01","1997-04-30",4.1,4.1,4.1,4.1,22
1997,5,"1997-05-02","1997-05-30",4.1,4.1,4.1,4.1,19
1997,6,"1997-06-02","1997-06-30",4.1,4.1,4.1,4.1,20
1997,7,"1997-07-01","1997-07-31",4.1,4.1,4.1,4.1,23
1997,8,"1997-08-01","1997-08-29",4.1,4.1,4.1,4.1,21
1997,9,"1997-09-01","1997-09-30",4.1,4.1,4.1,4.1,22
1997,10,"1997-10-01","1997-10-31",4.1,4.1,4.1,4.1,23
1997,11,"1997-11-03","1997-11-28",4.1,4.1,4.1,4.1,20
1997,12,"1997-12-01","1997-12-30",4.20526,4.1,4.35,4.35,19
1998,1,"1998-01-02","1998-01-30",4.35,4.35,4.35,4.35,20
1998,2,"1998-02-02","1998-02-27",4.35,4.35,4.35,4.35,20
1998,3,"1998-03-02","1998-03-31",4.35,4.35,4.35,4.35,22
1998,4,"1998-04-01","1998-04-30",4.35,4.35,4.35,4.35,20
1998,5,"1998-05-04","1998-05-29",4.35,4.35,4.35,4.35,19
1998,6,"1998-06-02","1998-06-30",4.1625,4.1,4.35,4.1,20
1998,7,"1998-07-01","1998-07-31",4.1,4.1,4.1,4.1,23
1998,8,"1998-08-03","1998-08-31",4.1,4.1,4.1,4.1,21
1998,9,"1998-09-01","1998-09-30",4.1,4.1,4.1,4.1,22
1998,10,"1998-10-01","1998-10-30",4.1,4.1,4.1,4.1,22
1998,11,"1998-11-02","1998-11-30",3.82619,3.6,4.1,3.6,21
1998,12,"1998-12-01","1998-12-30",3.51,3.4,3.6,3.4,20
1999,1,"1999-01-04","1999-01-29",3.4,3.4,3.4,3.4,19
1999,2,"1999-02-01","1999-02-26",3.3,3.15,3.4,3.15,20
1999,3,"1999-03-01","1999-03-31",3.13913,2.9,3.15,2.9,23
1999,4,"1999-04-01","1999-04-30",2.9,2.9,2.9,2.9,20
1999,5,"1999-05-03","1999-05-31",2.9,2.9,2.9,2.9,19
1999,6,"1999-06-01","1999-06-30",2.9,2.9,2.9,2.9,21
1999,7,"1999-07-01","1999-07-30",2.9,2.9,2.9,2.9,22
1999,8,"1999-08-02","1999-08-31",2.9,2.9,2.9,2.9,22
1999,9,"1999-09-01","1999-09-30",2.9,2.9,2.9,2.9,22
1999,10,"1999-10-01","1999-10-29",2.9,2.9,2.9,2.9,21
1999,11,"1999-11-01","1999-11-30",3.05909,2.9,3.25,3.25,22
1999,12,"1999-12-01","1999-12-30",3.25,3.25,3.25,3.25,21
2000,1,"2000-01-03","2000-01-31",3.25,3.25,3.25,3.25,20
2000,2,"2000-02-01","2000-02-29",3.60714,3.25,3.75,3.75,21
2000,3,"2000-03-01","2000-03-31",3.75,3.75,3.75,3.75,23
2000,4,"2000-04-03","2000-04-28",3.75,3.75,3.75,3.75,18
2000,5,"2000-05-02","2000-05-31",3.75,3.75,3.75,3.75,22
2000,6,"2000-06-02","2000-06-30",3.75,3.75,3.75,3.75,19
2000,7,"2000-07-03","2000-07-31",3.75,3.75,3.75,3.75,21
2000,8,"2000-08-01","2000-08-31",3.75,3.75,3.75,3.75,23
2000,9,"2000-09-01","2000-09-29",3.75,3.75,3.75,3.75,21
2000,10,"2000-10-02","2000-10-31",3.75,3.75,3.75,3.75,22
2000,11,"2000-11-01","2000-11-30",3.75,3.75,3.75,3.75,22
2000,12,"2000-12-01","2000-12-29",3.89474,3.75,4,4,19
2001,1,"2001-01-02","2001-01-31",4,4,4,4,22
2001,2,"2001-02-01","2001-02-28",4,4,4,4,20
2001,3,"2001-03-01","2001-03-30",4,4,4,4,22
2001,4,"2001-04-02","2001-04-30",4,4,4,4,19
2001,5,"2001-05-02","2001-05-31",4,4,4,4,21
2001,6,"2001-06-01","2001-06-29",4,4,4,4,19
2001,7,"2001-07-02","2001-07-31",4.17045,4,4.25,4.25,22
2001,8,"2001-08-01","2001-08-31",4.25,4.25,4.25,4.25,23
2001,9,"2001-09-03","2001-09-28",4.05,3.75,4.25,3.75,20
2001,10,"2001-10-01","2001-10-31",3.75,3.75,3.75,3.75,23
2001,11,"2001-11-01","2001-11-30",3.75,3.75,3.75,3.75,22
2001,12,"2001-12-03","2001-12-28",3.75,3.75,3.75,3.75,17
2002,1,"2002-01-02","2002-01-31",3.75,3.75,3.75,3.75,22
2002,2,"2002-02-01","2002-02-28",3.75,3.75,3.75,3.75,20
2002,3,"2002-03-01","2002-03-28",3.8375,3.75,4,4,20
2002,4,"2002-04-02","2002-04-30",4,4,4,4,21
2002,5,"2002-05-02","2002-05-31",4.25,4.25,4.25,4.25,20
2002,6,"2002-06-03","2002-06-28",4.25,4.25,4.25,4.25,19
